commit_id,author_id,author_experience_years,commit_date,files_modified,lines_added,lines_deleted,modules_affected_count,modules_affected,code_churn_ratio,is_hotspot_module,historical_bug_frequency,regression_time_hours,failure_probability_true,test_failed,test_fail_count
commit_000015,author_24,12.26,2024-07-28 22:00:00,47,928,2797,11,"Cache_L2,AHB_Controller,Reset_Logic,I2C_Interface,Memory_Controller,SPI_Interface,Control_Unit,UART_Controller,Data_Path,ALU,Interconnect",0.4269,1,33,13.77,1.0,1,2
commit_000016,author_31,11.99,2024-04-22 17:00:00,15,655,117,1,ALU,0.1337,0,7,5.84,0.3341,0,0
commit_000017,author_39,11.2,2024-10-15 20:00:00,12,4664,2048,10,"Cache_L2,Interconnect,GPIO_Controller,UART_Controller,Reset_Logic,ALU,Data_Path,Register_File,SPI_Interface,I2C_Interface",0.5731,1,30,14.73,1.0,1,2
commit_000018,author_16,14.01,2024-06-02 09:00:00,39,4721,2847,3,"Memory_Controller,Register_File,AHB_Controller",0.6022,1,12,11.52,0.69,1,7
commit_000019,author_15,11.16,2024-05-30 08:00:00,39,932,419,13,"AHB_Controller,Memory_Controller,UART_Controller,SPI_Interface,Reset_Logic,Cache_L2,Clock_Domain,GPIO_Controller,Data_Path,Cache_L1,Control_Unit,Interconnect,I2C_Interface",0.2127,1,46,12.63,1.0,1,1
commit_000020,author_14,11.08,2024-03-31 07:00:00,26,584,2291,9,"UART_Controller,I2C_Interface,Clock_Domain,Control_Unit,Cache_L2,Reset_Logic,Data_Path,SPI_Interface,AHB_Controller",0.3651,1,29,12.15,1.0,1,6
commit_000021,author_28,0.0,2024-08-29 20:00:00,38,956,830,4,"Data_Path,Reset_Logic,Control_Unit,UART_Controller",0.2632,0,10,8.63,0.4406,1,3
commit_000022,author_42,20.0,2024-03-08 04:00:00,47,3310,2626,3,"AHB_Controller,Data_Path,UART_Controller",0.5428,1,10,10.93,0.616,1,7
commit_000023,author_7,11.44,2024-06-18 17:00:00,48,3462,914,4,"Cache_L2,Reset_Logic,Interconnect,Control_Unit",0.4667,1,20,10.67,0.9595,1,2
commit_000024,author_12,1.26,2024-07-09 03:00:00,22,2551,2051,10,"Control_Unit,Cache_L2,Memory_Controller,Reset_Logic,Interconnect,GPIO_Controller,AHB_Controller,SPI_Interface,UART_Controller,I2C_Interface",0.4793,1,27,13.79,1.0,1,7
commit_000025,author_32,0.0,2024-11-24 14:00:00,47,1772,364,11,"Cache_L2,Clock_Domain,Data_Path,AHB_Controller,Cache_L1,GPIO_Controller,UART_Controller,I2C_Interface,SPI_Interface,Reset_Logic,Control_Unit",0.2993,1,40,12.49,1.0,1,7
commit_000026,author_47,12.51,2024-11-28 05:00:00,45,140,2852,11,"Cache_L1,Cache_L2,ALU,Clock_Domain,AHB_Controller,I2C_Interface,Interconnect,SPI_Interface,Register_File,Reset_Logic,Control_Unit",0.3744,1,35,13.24,1.0,1,6
commit_000027,author_31,12.16,2024-12-09 06:00:00,34,4877,1594,8,"Reset_Logic,Clock_Domain,Interconnect,Cache_L1,AHB_Controller,GPIO_Controller,Memory_Controller,UART_Controller",0.5641,1,32,13.64,1.0,1,5
commit_000028,author_5,8.23,2024-06-09 13:00:00,37,3397,1711,13,"Data_Path,Memory_Controller,I2C_Interface,Cache_L2,GPIO_Controller,SPI_Interface,AHB_Controller,Clock_Domain,UART_Controller,Register_File,ALU,Cache_L1,Control_Unit",0.5053,1,38,15.55,1.0,1,4
commit_000029,author_46,5.77,2024-08-02 11:00:00,27,1050,2571,6,"Cache_L2,ALU,Data_Path,Cache_L1,SPI_Interface,Clock_Domain",0.42,0,24,11.2,0.9349,1,6
commit_000030,author_49,6.89,2024-02-19 12:00:00,21,4974,83,6,"AHB_Controller,Control_Unit,I2C_Interface,GPIO_Controller,Memory_Controller,SPI_Interface",0.5028,1,18,12.03,0.8488,1,7
commit_000031,author_33,2.85,2024-06-30 01:00:00,17,3975,1259,4,"Cache_L1,Register_File,Memory_Controller,Cache_L2",0.5114,1,9,11.11,0.6556,1,7
commit_000032,author_11,12.51,2024-10-26 03:00:00,25,2053,101,9,"Clock_Domain,Interconnect,UART_Controller,ALU,I2C_Interface,Reset_Logic,AHB_Controller,GPIO_Controller,Register_File",0.3011,1,16,11.51,0.8414,1,3
commit_000033,author_9,16.51,2024-06-29 13:00:00,31,1449,552,2,"Memory_Controller,Reset_Logic",0.2858,1,10,7.86,0.6438,0,0
commit_000034,author_10,6.89,2024-07-04 22:00:00,18,2144,2956,9,"ALU,I2C_Interface,Cache_L2,UART_Controller,Register_File,GPIO_Controller,Reset_Logic,Control_Unit,Cache_L1",0.505,0,35,13.55,1.0,1,4
commit_000035,author_4,9.62,2024-03-04 00:00:00,45,4658,2365,6,"SPI_Interface,Data_Path,ALU,AHB_Controller,UART_Controller,Register_File",0.5841,1,17,12.84,0.8642,1,3
commit_000036,author_41,1.52,2024-06-27 19:00:00,43,2744,2020,12,"Cache_L1,UART_Controller,Control_Unit,Interconnect,Data_Path,Clock_Domain,AHB_Controller,Memory_Controller,I2C_Interface,Register_File,GPIO_Controller,SPI_Interface",0.4879,1,46,14.88,1.0,1,4
commit_000037,author_38,9.71,2024-04-11 02:00:00,9,3242,1112,13,"Data_Path,Cache_L1,AHB_Controller,ALU,Register_File,GPIO_Controller,SPI_Interface,Cache_L2,Interconnect,Memory_Controller,I2C_Interface,Clock_Domain,Control_Unit",0.4655,1,47,15.15,1.0,1,3
commit_000038,author_27,3.86,2024-04-15 12:00:00,30,1691,1,1,Reset_Logic,0.2528,0,3,7.03,0.2795,0,0
commit_000039,author_11,9.65,2024-04-30 20:00:00,31,3664,2359,1,Reset_Logic,0.5464,0,3,9.96,0.3208,0,0
commit_000040,author_12,9.12,2024-08-14 18:00:00,45,2948,2188,7,"GPIO_Controller,Data_Path,Reset_Logic,SPI_Interface,Cache_L2,ALU,Cache_L1",0.5067,0,23,12.57,0.964,1,5
commit_000041,author_7,7.56,2024-09-18 03:00:00,2,1353,1826,7,"Clock_Domain,AHB_Controller,Control_Unit,Cache_L2,UART_Controller,GPIO_Controller,Register_File",0.3887,1,22,11.39,1.0,1,6
commit_000042,author_15,7.28,2024-06-01 04:00:00,38,1242,2401,7,"AHB_Controller,SPI_Interface,Cache_L2,Data_Path,Register_File,ALU,Memory_Controller",0.4215,1,28,11.71,1.0,1,3
commit_000043,author_18,8.3,2024-08-27 17:00:00,3,1735,1689,4,"SPI_Interface,Interconnect,Data_Path,Reset_Logic",0.4065,1,14,10.06,0.6792,0,0
commit_000044,author_35,5.83,2024-08-14 01:00:00,14,4371,1560,2,"AHB_Controller,Memory_Controller",0.5426,1,9,10.43,0.6222,0,0
commit_000045,author_17,10.54,2024-05-01 21:00:00,32,4197,542,14,"I2C_Interface,ALU,AHB_Controller,Memory_Controller,Reset_Logic,Data_Path,Register_File,Interconnect,Cache_L2,Clock_Domain,Control_Unit,GPIO_Controller,UART_Controller,SPI_Interface",0.4866,1,40,15.87,1.0,1,1
commit_000046,author_46,8.6,2024-10-24 16:00:00,21,2365,1791,7,"AHB_Controller,Interconnect,GPIO_Controller,Clock_Domain,SPI_Interface,Cache_L2,Register_File",0.4539,1,25,12.04,1.0,1,1
commit_000047,author_43,11.97,2024-08-13 09:00:00,24,2721,1668,4,"I2C_Interface,Register_File,SPI_Interface,Memory_Controller",0.4675,1,9,10.67,0.6651,0,0
commit_000048,author_20,12.98,2024-12-12 04:00:00,25,2386,2510,2,"ALU,SPI_Interface",0.4947,0,1,9.95,0.1762,0,0
commit_000049,author_26,12.81,2024-07-20 20:00:00,10,2206,651,11,"Interconnect,Cache_L1,Cache_L2,Data_Path,SPI_Interface,UART_Controller,Clock_Domain,ALU,GPIO_Controller,Control_Unit,AHB_Controller",0.3636,1,46,13.14,1.0,1,1
commit_000050,author_14,10.7,2024-10-20 11:00:00,4,1865,873,2,"GPIO_Controller,I2C_Interface",0.3538,0,3,8.54,0.2744,0,0
commit_000051,author_21,13.98,2024-11-13 10:00:00,36,2291,2649,10,"Control_Unit,Reset_Logic,SPI_Interface,Cache_L2,Interconnect,Clock_Domain,Cache_L1,Memory_Controller,GPIO_Controller,ALU",0.497,1,29,13.97,1.0,1,6
commit_000052,author_40,8.41,2024-08-16 19:00:00,45,4845,1373,7,"Memory_Controller,Clock_Domain,GPIO_Controller,Cache_L2,SPI_Interface,ALU,UART_Controller",0.5543,1,31,13.04,1.0,1,7
commit_000053,author_10,0.0,2024-01-17 16:00:00,36,1871,2856,6,"AHB_Controller,Cache_L2,Control_Unit,I2C_Interface,Memory_Controller,GPIO_Controller",0.486,1,12,11.86,0.7491,1,4
commit_000054,author_41,0.0,2024-05-12 17:00:00,7,3151,2686,15,"UART_Controller,Reset_Logic,Data_Path,Control_Unit,GPIO_Controller,Cache_L2,Cache_L1,AHB_Controller,SPI_Interface,Clock_Domain,I2C_Interface,Memory_Controller,Register_File,ALU,Interconnect",0.5386,1,53,16.89,1.0,1,6
commit_000055,author_8,3.98,2024-11-07 14:00:00,50,4412,778,8,"Cache_L1,GPIO_Controller,Control_Unit,SPI_Interface,Interconnect,UART_Controller,Register_File,Clock_Domain",0.5093,1,27,13.09,1.0,1,4
commit_000056,author_47,7.06,2024-12-10 14:00:00,27,1570,2178,1,Data_Path,0.4284,0,2,8.78,0.3097,0,0
commit_000057,author_36,9.47,2024-10-31 09:00:00,28,274,1395,6,"Reset_Logic,Cache_L1,UART_Controller,Control_Unit,GPIO_Controller,ALU",0.2503,0,20,9.5,0.749,0,0
commit_000058,author_41,9.86,2024-07-08 07:00:00,2,4588,935,8,"GPIO_Controller,Reset_Logic,Interconnect,Control_Unit,SPI_Interface,Cache_L2,ALU,UART_Controller",0.5249,1,25,13.25,1.0,1,6
commit_000059,author_19,6.89,2024-06-09 01:00:00,48,4098,82,14,"ALU,Register_File,Clock_Domain,Interconnect,Memory_Controller,Cache_L1,I2C_Interface,Cache_L2,Control_Unit,GPIO_Controller,SPI_Interface,Reset_Logic,AHB_Controller,Data_Path",0.4553,1,48,15.55,1.0,1,6
commit_000060,author_35,3.52,2024-11-14 01:00:00,27,3008,1384,1,Data_Path,0.4676,0,3,9.18,0.2694,1,5
commit_000061,author_27,4.94,2024-09-22 21:00:00,8,3461,361,1,Reset_Logic,0.4332,0,2,8.83,0.2701,0,0
commit_000062,author_45,0.0,2024-01-14 08:00:00,20,4806,997,1,Clock_Domain,0.5372,0,0,9.87,0.1849,0,0
commit_000063,author_37,6.45,2024-09-16 16:00:00,21,3838,1968,14,"Control_Unit,AHB_Controller,Register_File,ALU,Data_Path,SPI_Interface,Interconnect,Cache_L2,Reset_Logic,Memory_Controller,Cache_L1,I2C_Interface,GPIO_Controller,Clock_Domain",0.5373,1,49,16.37,1.0,1,5
commit_000064,author_43,8.8,2024-10-03 00:00:00,31,1441,1528,6,"UART_Controller,Cache_L1,Control_Unit,Clock_Domain,I2C_Interface,Interconnect",0.3726,1,25,10.73,1.0,1,6
commit_000065,author_26,3.67,2024-01-19 12:00:00,5,939,1463,12,"Memory_Controller,SPI_Interface,Data_Path,Cache_L1,Control_Unit,UART_Controller,AHB_Controller,ALU,Cache_L2,I2C_Interface,Reset_Logic,GPIO_Controller",0.3245,1,34,13.25,1.0,1,7
commit_000066,author_49,7.14,2024-09-15 19:00:00,47,2196,995,3,"ALU,GPIO_Controller,Data_Path",0.3896,0,12,9.4,0.4968,1,7
commit_000067,author_6,6.19,2024-11-17 01:00:00,17,1217,1043,9,"AHB_Controller,UART_Controller,Interconnect,Reset_Logic,Register_File,Cache_L2,Memory_Controller,Clock_Domain,Data_Path",0.3113,1,37,11.61,1.0,1,1
commit_000068,author_16,7.38,2024-05-16 02:00:00,37,2968,1572,13,"Clock_Domain,AHB_Controller,I2C_Interface,Cache_L1,Cache_L2,UART_Controller,Control_Unit,Memory_Controller,ALU,Interconnect,SPI_Interface,GPIO_Controller,Register_File",0.4759,1,44,15.26,1.0,1,7
commit_000069,author_39,4.52,2024-03-19 04:00:00,31,4055,849,8,"GPIO_Controller,Clock_Domain,Cache_L1,ALU,Memory_Controller,I2C_Interface,AHB_Controller,UART_Controller",0.4952,1,22,12.95,1.0,1,3
commit_000070,author_25,10.31,2024-09-27 18:00:00,47,4128,234,13,"UART_Controller,Cache_L2,Memory_Controller,I2C_Interface,SPI_Interface,Clock_Domain,GPIO_Controller,ALU,Data_Path,Register_File,Control_Unit,AHB_Controller,Cache_L1",0.4659,1,42,15.16,1.0,1,4
commit_000071,author_23,7.61,2024-12-29 16:00:00,43,749,1401,12,"Data_Path,SPI_Interface,Register_File,Memory_Controller,Interconnect,GPIO_Controller,AHB_Controller,Reset_Logic,Control_Unit,Cache_L2,Clock_Domain,I2C_Interface",0.3007,1,50,13.01,1.0,1,7
commit_000072,author_41,6.4,2024-11-09 20:00:00,49,2062,1843,9,"UART_Controller,Cache_L1,Data_Path,Clock_Domain,Interconnect,ALU,SPI_Interface,Control_Unit,Cache_L2",0.4385,1,42,12.89,1.0,1,2
commit_000073,author_47,7.97,2024-07-02 05:00:00,9,2478,2121,4,"Register_File,Clock_Domain,Cache_L2,Memory_Controller",0.4791,1,11,10.79,0.7641,1,7
commit_000074,author_29,1.28,2024-06-15 11:00:00,30,3706,2765,1,GPIO_Controller,0.5641,0,1,10.14,0.2063,0,0
commit_000075,author_40,0.0,2024-09-15 17:00:00,4,3018,2161,1,Register_File,0.5088,0,2,9.59,0.3564,1,2
commit_000076,author_21,10.44,2024-05-04 03:00:00,5,1923,1216,1,Control_Unit,0.3857,0,3,8.36,0.2978,1,3
commit_000077,author_17,0.0,2024-08-20 08:00:00,12,2339,2450,13,"ALU,I2C_Interface,UART_Controller,Reset_Logic,Interconnect,AHB_Controller,SPI_Interface,Cache_L2,Clock_Domain,Memory_Controller,Control_Unit,GPIO_Controller,Cache_L1",0.4892,1,39,15.39,1.0,1,1
commit_000078,author_45,3.73,2024-11-21 00:00:00,48,3460,1909,4,"SPI_Interface,UART_Controller,Control_Unit,GPIO_Controller",0.5178,0,12,11.18,0.5487,0,0
commit_000079,author_6,12.85,2024-07-19 20:00:00,38,2810,1856,15,"Cache_L2,Data_Path,UART_Controller,Reset_Logic,ALU,I2C_Interface,Register_File,Control_Unit,SPI_Interface,Clock_Domain,Cache_L1,GPIO_Controller,Interconnect,Memory_Controller,AHB_Controller",0.4827,1,60,16.33,1.0,1,3
commit_000080,author_18,5.45,2024-07-28 07:00:00,30,2616,451,1,ALU,0.3802,0,4,8.3,0.3294,1,6
commit_000081,author_47,10.12,2024-05-11 11:00:00,41,4674,1415,10,"Register_File,Memory_Controller,UART_Controller,Interconnect,Cache_L1,Cache_L2,I2C_Interface,Control_Unit,SPI_Interface,Reset_Logic",0.5491,1,32,14.49,1.0,1,3
commit_000082,author_49,6.93,2024-12-24 03:00:00,22,2925,609,14,"I2C_Interface,ALU,Memory_Controller,Cache_L2,Clock_Domain,UART_Controller,Register_File,Cache_L1,Control_Unit,AHB_Controller,SPI_Interface,GPIO_Controller,Reset_Logic,Interconnect",0.4141,1,40,15.14,1.0,1,3
commit_000083,author_36,6.03,2024-07-18 10:00:00,6,304,1392,12,"UART_Controller,Cache_L1,SPI_Interface,Control_Unit,Memory_Controller,AHB_Controller,ALU,Reset_Logic,Cache_L2,Data_Path,Clock_Domain,GPIO_Controller",0.2533,1,38,12.53,1.0,1,2
commit_000084,author_17,3.5,2024-11-22 03:00:00,49,1246,2876,9,"Memory_Controller,Clock_Domain,Reset_Logic,Data_Path,Control_Unit,GPIO_Controller,AHB_Controller,Cache_L1,I2C_Interface",0.4519,1,29,13.02,1.0,1,3
commit_000085,author_20,0.0,2024-02-28 03:00:00,33,28,2242,10,"Cache_L2,Memory_Controller,Interconnect,Data_Path,I2C_Interface,SPI_Interface,Reset_Logic,UART_Controller,GPIO_Controller,Control_Unit",0.3122,1,38,12.12,1.0,1,6
commit_000086,author_38,12.24,2024-10-19 17:00:00,36,3416,731,4,"ALU,I2C_Interface,Clock_Domain,AHB_Controller",0.4534,1,11,10.53,0.5471,0,0
commit_000087,author_48,14.45,2024-03-08 17:00:00,27,3316,897,14,"GPIO_Controller,Cache_L2,SPI_Interface,Clock_Domain,ALU,Memory_Controller,Cache_L1,UART_Controller,I2C_Interface,Reset_Logic,AHB_Controller,Data_Path,Register_File,Control_Unit",0.4573,1,47,15.57,1.0,1,7
commit_000088,author_39,3.25,2024-11-16 19:00:00,28,4497,768,5,"ALU,AHB_Controller,Cache_L2,Reset_Logic,UART_Controller",0.5129,1,14,11.63,0.8781,1,4
commit_000089,author_30,11.01,2024-02-18 14:00:00,3,4470,2906,3,"SPI_Interface,Cache_L2,ALU",0.596,0,7,11.46,0.4762,0,0
commit_000090,author_41,9.2,2024-05-15 01:00:00,36,3849,1258,10,"Data_Path,Memory_Controller,Interconnect,Cache_L2,SPI_Interface,Cache_L1,ALU,I2C_Interface,AHB_Controller,Reset_Logic",0.5053,1,51,14.05,1.0,1,6
commit_000091,author_20,6.1,2024-07-16 00:00:00,26,4745,2387,4,"Control_Unit,Memory_Controller,Reset_Logic,UART_Controller",0.5879,1,17,11.88,0.9059,1,1
commit_000092,author_26,6.97,2024-07-04 20:00:00,50,1104,2411,10,"Interconnect,Reset_Logic,Control_Unit,GPIO_Controller,Memory_Controller,I2C_Interface,AHB_Controller,Data_Path,Register_File,Cache_L1",0.4128,1,29,13.13,1.0,1,7
commit_000093,author_2,7.8,2024-03-03 08:00:00,42,235,776,6,"Cache_L2,SPI_Interface,I2C_Interface,GPIO_Controller,AHB_Controller,ALU",0.1682,1,24,8.68,1.0,1,7
commit_000094,author_49,9.97,2024-04-29 14:00:00,8,2902,1695,11,"Control_Unit,Interconnect,SPI_Interface,Reset_Logic,ALU,Cache_L1,Data_Path,UART_Controller,AHB_Controller,Cache_L2,I2C_Interface",0.479,1,30,14.29,1.0,1,3
commit_000095,author_21,11.71,2024-03-12 09:00:00,2,2815,721,15,"Clock_Domain,Cache_L1,Register_File,Data_Path,Control_Unit,ALU,UART_Controller,AHB_Controller,Cache_L2,SPI_Interface,Reset_Logic,I2C_Interface,Memory_Controller,GPIO_Controller,Interconnect",0.4142,1,46,15.64,1.0,1,2
commit_000096,author_1,17.71,2024-11-11 09:00:00,17,3186,1251,7,"Data_Path,AHB_Controller,Cache_L2,Interconnect,Register_File,I2C_Interface,Control_Unit",0.4702,1,21,12.2,0.9113,1,3
commit_000097,author_49,3.26,2024-02-05 05:00:00,34,2408,433,4,"Cache_L2,ALU,Interconnect,Cache_L1",0.3623,1,18,9.62,0.9836,1,4
commit_000098,author_29,12.26,2024-11-26 21:00:00,18,4766,738,6,"Memory_Controller,AHB_Controller,SPI_Interface,I2C_Interface,Cache_L2,Cache_L1",0.524,1,22,12.24,1.0,1,2
commit_000099,author_1,0.0,2024-10-05 12:00:00,31,1597,2904,12,"Memory_Controller,Cache_L2,Reset_Logic,Control_Unit,GPIO_Controller,Cache_L1,UART_Controller,ALU,Interconnect,Register_File,I2C_Interface,Clock_Domain",0.4737,1,38,14.74,1.0,1,5
commit_000100,author_31,12.56,2024-06-15 09:00:00,50,2412,799,4,"Control_Unit,Interconnect,Cache_L1,Data_Path",0.3911,1,11,9.91,0.6383,1,3
commit_000101,author_39,3.62,2024-12-12 23:00:00,2,3857,2630,8,"UART_Controller,Cache_L1,Memory_Controller,ALU,Data_Path,Register_File,Interconnect,Reset_Logic",0.5647,1,27,13.65,1.0,1,1
commit_000102,author_19,14.73,2024-07-22 19:00:00,11,982,2810,10,"Clock_Domain,I2C_Interface,Reset_Logic,SPI_Interface,Control_Unit,Cache_L1,UART_Controller,Interconnect,GPIO_Controller,Data_Path",0.4313,1,16,13.31,0.7689,1,5
commit_000103,author_35,7.4,2024-09-14 12:00:00,17,2951,1599,2,"Control_Unit,Register_File",0.4764,0,5,9.76,0.3719,0,0
commit_000104,author_45,7.09,2024-06-12 00:00:00,44,4596,430,15,"I2C_Interface,Data_Path,Cache_L2,Clock_Domain,AHB_Controller,Register_File,Control_Unit,UART_Controller,GPIO_Controller,Reset_Logic,Memory_Controller,Interconnect,SPI_Interface,Cache_L1,ALU",0.5013,1,45,16.51,1.0,1,4
commit_000105,author_29,10.34,2024-03-09 01:00:00,22,1987,1859,13,"Interconnect,Control_Unit,AHB_Controller,UART_Controller,Cache_L1,Data_Path,SPI_Interface,Memory_Controller,Cache_L2,Reset_Logic,Register_File,I2C_Interface,ALU",0.4348,1,35,14.85,1.0,1,2
commit_000106,author_22,2.75,2024-12-30 06:00:00,13,1025,1384,6,"Data_Path,Register_File,SPI_Interface,UART_Controller,Control_Unit,Interconnect",0.3251,1,15,10.25,0.8392,1,7
commit_000107,author_5,5.9,2024-06-09 06:00:00,15,2670,2172,7,"SPI_Interface,Reset_Logic,ALU,Cache_L2,Memory_Controller,Data_Path,Clock_Domain",0.492,1,18,12.42,0.9718,1,6
commit_000108,author_46,11.16,2024-03-09 14:00:00,23,3223,2364,7,"Control_Unit,Cache_L1,UART_Controller,ALU,AHB_Controller,SPI_Interface,Register_File",0.5277,1,27,12.78,1.0,1,3
commit_000109,author_19,7.55,2024-09-01 17:00:00,47,138,1872,2,"Register_File,Data_Path",0.2867,0,8,7.87,0.4585,1,4
commit_000110,author_34,8.59,2024-10-08 07:00:00,13,3522,1109,12,"I2C_Interface,SPI_Interface,GPIO_Controller,Cache_L1,UART_Controller,Clock_Domain,Memory_Controller,Data_Path,ALU,Register_File,Interconnect,Cache_L2",0.4808,1,39,14.81,1.0,1,7
commit_000111,author_10,13.33,2024-06-07 12:00:00,29,2839,2381,3,"Control_Unit,SPI_Interface,ALU",0.5108,0,13,10.61,0.5494,1,2
commit_000112,author_43,5.4,2024-01-07 09:00:00,7,4486,741,11,"Reset_Logic,GPIO_Controller,Control_Unit,ALU,SPI_Interface,Interconnect,Cache_L1,Memory_Controller,Cache_L2,I2C_Interface,UART_Controller",0.5111,1,33,14.61,1.0,1,5
commit_000113,author_28,9.99,2024-06-19 17:00:00,30,164,904,6,"Control_Unit,Clock_Domain,ALU,Cache_L2,Data_Path,Reset_Logic",0.176,0,25,8.76,0.8608,1,5
commit_000114,author_25,10.17,2024-09-02 01:00:00,5,3134,479,11,"I2C_Interface,ALU,UART_Controller,Clock_Domain,AHB_Controller,Data_Path,GPIO_Controller,SPI_Interface,Interconnect,Register_File,Control_Unit",0.4195,1,23,13.69,1.0,1,4
commit_000115,author_48,11.92,2024-12-05 02:00:00,36,2946,2218,6,"Clock_Domain,ALU,GPIO_Controller,Cache_L2,I2C_Interface,Register_File",0.5081,0,13,12.08,0.6378,1,7
commit_000116,author_13,1.03,2024-06-20 02:00:00,25,4253,1141,2,"SPI_Interface,GPIO_Controller",0.519,0,6,10.19,0.4003,0,0
commit_000117,author_43,10.51,2024-04-03 08:00:00,45,1461,1751,9,"SPI_Interface,Memory_Controller,Reset_Logic,GPIO_Controller,AHB_Controller,ALU,Control_Unit,UART_Controller,I2C_Interface",0.3911,1,28,12.41,1.0,1,5
commit_000118,author_9,20.0,2024-03-02 12:00:00,45,2997,1489,8,"Reset_Logic,ALU,Register_File,UART_Controller,Data_Path,Cache_L1,Cache_L2,I2C_Interface",0.4729,0,24,12.73,0.7967,1,6
commit_000119,author_24,1.28,2024-12-28 09:00:00,49,4613,490,2,"Interconnect,ALU",0.5051,1,10,10.05,0.7372,0,0
commit_000120,author_17,18.62,2024-11-24 22:00:00,6,1524,2598,15,"GPIO_Controller,ALU,UART_Controller,Register_File,Memory_Controller,Control_Unit,SPI_Interface,Cache_L1,Data_Path,Interconnect,Cache_L2,I2C_Interface,AHB_Controller,Reset_Logic,Clock_Domain",0.4519,1,57,16.02,1.0,1,7
commit_000121,author_8,12.01,2024-11-06 11:00:00,18,1765,2642,10,"Register_File,SPI_Interface,UART_Controller,Clock_Domain,ALU,I2C_Interface,Data_Path,Reset_Logic,AHB_Controller,Control_Unit",0.4685,1,33,13.68,1.0,1,3
commit_000122,author_2,3.7,2024-08-11 22:00:00,5,1593,2271,3,"Reset_Logic,I2C_Interface,Cache_L2",0.4359,0,9,9.86,0.6034,0,0
